Datum,Zeit,Adr,ID-Nr.,HST,Nr.,Wert,Einheit,Beschreibung,Art,Modul,SP-Nr.,Tarif
01.03.10,00:00,4,5,GWF,2,599.84,m^3,volume,instant.,0,0,0
01.03.10,00:00,4,5,GWF,3,584.7,m^3,volume,instant.,1,0,0
01.03.10,00:00,4,5,GWF,4,31,°C,flow temperature,instant.,0,0,0
01.03.10,00:00,4,5,GWF,5,29,°C,return temperature,instant.,0,0,0
01.03.10,00:00,4,5,GWF,6,2.1,K,temperature difference,instant.,0,0,0
01.03.10,00:00,4,5,GWF,7,1787,hours,on time,instant.,0,0,0
01.03.10,00:00,4,5,GWF,8,1787,hours,operating time,instant.,0,0,0
01.03.10,00:00,4,5,GWF,9,0,l/h,volume flow,instant.,0,0,0
01.03.10,00:00,4,5,GWF,10,0,kW,power,instant.,0,0,0
01.03.10,00:00,4,5,GWF,11,28.02.10 23:52 Win  V,,time point,instant.,0,0,0
01.03.10,00:00,4,5,GWF,12,1483,HCA,HCA-Unit,instant.,1,0,0
01.03.10,00:00,4,5,GWF,13,0,HCA,HCA-Unit,instant.,2,0,0
01.03.10,00:00,4,5,GWF,14,0,kWh,energy,instant.,0,1,0
01.03.10,00:00,4,5,GWF,15,0,m^3,volume,instant.,0,1,0
01.03.10,00:00,4,5,GWF,16,0,m^3,volume,instant.,1,1,0
01.03.10,00:00,4,5,GWF,17,0,HCA,HCA-Unit,instant.,1,1,0
01.03.10,00:00,4,5,GWF,18,0,HCA,HCA-Unit,instant.,2,1,0
01.03.10,00:00,4,5,GWF,19,00.00.00,,time point,instant.,0,1,0
01.03.10,00:00,4,5,GWF,20,$00,,M-Bus state,,,,
01.03.10,00:00,3,9,GWF,1,4786,kWh,energy,instant.,0,0,0
01.03.10,00:00,3,9,GWF,2,365.94,m^3,volume,instant.,0,0,0
01.03.10,00:00,3,9,GWF,3,358.49,m^3,volume,instant.,1,0,0
01.03.10,00:00,3,9,GWF,4,36,°C,flow temperature,instant.,0,0,0
01.03.10,00:00,3,9,GWF,5,31,°C,return temperature,instant.,0,0,0
01.03.10,00:00,3,9,GWF,6,4.4,K,temperature difference,instant.,0,0,0
01.03.10,00:00,3,9,GWF,7,1788,hours,on time,instant.,0,0,0
01.03.10,00:00,3,9,GWF,8,1788,hours,operating time,instant.,0,0,0
01.03.10,00:00,3,9,GWF,9,0,l/h,volume flow,instant.,0,0,0
01.03.10,00:00,3,9,GWF,10,0,kW,power,instant.,0,0,0
01.03.10,00:00,3,9,GWF,11,28.02.10 23:53 Win  V,,time point,instant.,0,0,0
01.03.10,00:00,3,9,GWF,12,373,HCA,HCA-Unit,instant.,1,0,0
01.03.10,00:00,3,9,GWF,13,0,HCA,HCA-Unit,instant.,2,0,0
01.03.10,00:00,3,9,GWF,14,0,kWh,energy,instant.,0,1,0
01.03.10,00:00,3,9,GWF,15,0,m^3,volume,instant.,0,1,0
01.03.10,00:00,3,9,GWF,16,0,m^3,volume,instant.,1,1,0
01.03.10,00:00,3,9,GWF,17,0,HCA,HCA-Unit,instant.,1,1,0
01.03.10,00:00,3,9,GWF,18,0,HCA,HCA-Unit,instant.,2,1,0
01.03.10,00:00,3,9,GWF,19,00.00.00,,time point,instant.,0,1,0
01.03.10,00:00,3,9,GWF,20,$00,,M-Bus state,,,,
01.04.10,00:00,1,1,GWF,1,3615,kWh,energy,instant.,0,0,0
