time;centralHeatMeter
2020-03-22;85045.6088
2020-03-23;85152.14376
2020-03-24;85267.35501
2020-03-25;85380.14915
2020-03-26;85494.82178
2020-03-27;85612.63107
2020-03-28;85691.29883
2020-03-29;85738.57439
2020-03-30;85850.74392
2020-03-31;85973.17737
2020-04-01;86089.93096
2020-04-02;86177.8773
2020-04-03;86220.60594
2020-04-04;86286.77246
2020-04-05;86352.09821
2020-04-06;86377.67077
2020-04-07;86392.47428
2020-04-08;86398.47646
2020-04-09;86399.14429
2020-04-10;86411.51131
2020-04-11;86415.98484
2020-04-12;86416.00411
2020-04-13;86416.00411
2020-04-14;86416.00411
2020-04-15;86437.99776
2020-04-16;86452.50818
2020-04-17;86453.00411
2020-04-18;86453.00411
2020-04-19;86453.02362
2020-04-20;86454.00411
2020-04-21;86454.01744
2020-04-22;86456.06125
2020-04-23;86457.00411
2020-04-24;86457.00411
2020-04-25;86457.00411
2020-04-26;86457.00411
2020-04-27;86457.00411
2020-04-28;86457.00411
2020-04-29;86459.0911
2020-04-30;86463.79104
2020-05-01;86481.87077
2020-05-02;86504.55161
2020-05-03;86533.54392
2020-05-04;86539.00411
2020-05-05;86539.00411
2020-05-06;86554.85808
2020-05-07;86576.77359
2020-05-08;86582.36893
2020-05-09;86583.00411
2020-05-10;86583.00411
2020-05-11;86583.04183
2020-05-12;86607.51062
2020-05-13;86656.15027
2020-05-14;86678.67513
2020-05-15;86703.97071
2020-05-16;86744.03906
2020-05-17;86767.09199
2020-05-18;86771.00412
2020-05-19;86771.00412
2020-05-20;86771.00412
2020-05-21;86771.00412
2020-05-22;86771.00412
2020-05-23;86771.02831
2020-05-24;86772.00412
2020-05-25;86772.00412
2020-05-26;86772.00412
2020-05-27;86772.00412
2020-05-28;86772.00412
2020-05-29;86772.00412
2020-05-30;86772.00412
2020-05-31;86772.00412
2020-06-01;86772.93439
2020-06-02;86773.00412
2020-06-03;86773.00412
2020-06-04;86773.00412
2020-06-05;86773.00412
2020-06-06;86773.00412
2020-06-07;86773.47935
2020-06-08;86786.07002
2020-06-09;86793.00412
2020-06-10;86793.00412
2020-06-11;86793.00412
2020-06-12;86793.00412
2020-06-13;86793.00412
2020-06-14;86793.00412
2020-06-15;86793.00412
2020-06-16;86793.00412
2020-06-17;86793.00412
2020-06-18;86793.00412
2020-06-19;86793.00412
2020-06-20;86793.00412
2020-06-21;86793.53552
2020-06-22;86794.00412
2020-06-23;86794.00412
2020-06-24;86794.00412
2020-06-25;86794.00412
2020-06-26;86794.00412
2020-06-27;86794.00412
2020-06-28;86794.00412
2020-06-29;86794.00412
2020-06-30;86794.00412
2020-07-01;86794.00412
2020-07-02;86794.00412
2020-07-03;86794.00412
2020-07-04;86794.00412
2020-07-05;86794.3815
2020-07-06;86795.00412
2020-07-07;86795.00412
2020-07-08;86795.00412
2020-07-09;86795.00412
2020-07-10;86795.00412
2020-07-11;86795.00412
2020-07-12;86795.00412
2020-07-13;86795.00412
2020-07-14;86795.00412
2020-07-15;86795.00412
2020-07-16;86795.00412
2020-07-17;86795.00412
2020-07-18;86795.00412
2020-07-19;86795.00412
2020-07-20;86795.43324
2020-07-21;86796.00412
2020-07-22;86796.00412
2020-07-23;86796.00412
2020-07-24;86796.00412
2020-07-25;86796.00412
2020-07-26;86796.00412
2020-07-27;86796.00412
2020-07-28;86796.00412
2020-07-29;86796.00412
2020-07-30;86796.00412
2020-07-31;86796.00412
2020-08-01;86796.00412
2020-08-02;86796.00412
2020-08-03;86796.00412
2020-08-04;86796.49667
2020-08-05;86797.00412
2020-08-06;86797.00412
2020-08-07;86797.00412
2020-08-08;86797.00412
2020-08-09;86797.00412
2020-08-10;86797.00412
2020-08-11;86797.00412
2020-08-12;86797.00412
2020-08-13;86797.00412
2020-08-14;86797.00412
2020-08-15;86797.00412
2020-08-16;86797.00412
2020-08-17;86797.40672
2020-08-18;86798.00412
2020-08-19;86798.00412
2020-08-20;86798.00412
2020-08-21;86798.00412
2020-08-22;86798.00412
2020-08-23;86798.00412
2020-08-24;86798.00412
2020-08-25;86798.00412
2020-08-26;86798.00412
2020-08-27;86798.00412
2020-08-28;86798.00412
2020-08-29;86798.00412
2020-08-30;86798.44682
2020-08-31;86802.97956
2020-09-01;86804.00412
2020-09-02;86804.00412
2020-09-03;86804.00412
2020-09-04;86804.00412
2020-09-05;86804.00412
2020-09-06;86804.00412
2020-09-07;86804.00412
2020-09-08;86804.00412
2020-09-09;86804.00412
2020-09-10;86804.00412
2020-09-11;86804.44699
2020-09-12;86805.00412
2020-09-13;86805.00412
2020-09-14;86805.00412
2020-09-15;86805.00412
2020-09-16;86805.00412
2020-09-17;86805.00412
